q_id,ans
0000421,E
0000422,B
0000731,C
0000732,D
0000740,B
0000741,C
0001330,C
0001331,C
0001360,E
0001361,A
0001390,C
0001391,A
0001392,A
0001430,C
0001431,C
0001432,E
0001640,D
0001641,D
0001642,B
0001921,C
0001922,C
0001961,A
0001962,C
0002080,D
0002081,E
0002082,E
0002410,C
0002411,A
0002412,B
0002570,E
0002830,D
0002832,B
0002940,E
0002941,C
0003280,A
0003281,C
0003282,D
0003381,A
0003382,C
0003571,D
0003572,A
0003590,D
0003601,E
0003870,A
0003871,E
0003951,E
0003952,B
0003970,B
0003971,D
0003972,D
0004000,E
0004001,B
0004152,E
0004280,A
0004282,E
0004590,E
0004591,B
0004740,A
0004741,D
0004861,B
0004862,A
0004880,C
0005200,D
0005361,A
0005440,A
0005441,A
0005442,D
0005642,D
0005890,B
0005892,C
0005900,D
0005990,C
0005991,E
0005992,A
0006230,E
0006262,E
0006320,D
0006362,A
0006410,D
0006411,C
0006412,A
0006610,B
0006611,A
0006750,E
0006752,A
0006921,C
0006922,A
0006930,D
0006931,B
0006932,A
0006990,C
0007111,B
0007112,E
0007150,A
0007151,A
0007152,A
0007240,A
0007242,D
0007300,B
0007570,A
0007610,C
0007611,B
0007640,A
0007641,D
0007722,D
0007752,D
0007760,C
0007761,C
0007762,E
0008020,C
0008022,B
0008100,B
0008101,B
0008102,A
0008271,E
0008272,A
0008311,B
0008312,E
0008362,D
0008720,C
0008722,A
0008731,E
0008732,C
0008850,E
0008851,D
0008852,C
0009230,A
0009231,A
0009232,D
0009390,C
0009392,B
0009620,D
0009622,B
0009690,C
0009691,D
0009692,A
0009740,E
0009850,A
0009851,D
0009852,C
0009870,D
0009871,B
0009872,C
0009990,A
0009991,C
0009992,A
0010000,A
0010290,B
0010291,C
0010640,E
0010641,E
0010831,D
0010832,B
0010890,E
0010891,C
0011030,D
0011380,A
0011381,A
0011460,C
0011461,A
0011462,D
0011490,E
0011491,E
0011492,C
0011531,D
0011532,D
0011640,A
0011710,D
0011760,D
0011761,C
0011762,A
0011800,D
0011801,D
0011802,A
0012051,C
0012052,A
0012280,E
0012282,C
0012440,E
0012441,D
0012442,A
0012680,C
0012681,A
0012682,C
0012702,E
0012901,D
0012920,A
0012921,E
0012922,B
0012960,A
0012961,A
0012962,D
0013401,A
0013402,C
0013420,D
0013421,E
0013470,A
0013471,D
0013530,A
0013531,B
0013690,E
0013740,C
0013741,D
0013930,C
0013980,D
0013982,B
0014040,C
0014041,A
0014360,A
0014361,E
0014420,B
0014641,E
0014901,C
0014902,B
0015030,A
0015031,B
0015251,D
0015320,E
0015321,D
0015322,D
0015610,A
0015612,D
0015630,A
0015632,C
0015731,D
0015732,E
0015770,D
0015771,B
0015772,D
0015841,A
0015842,D
0015900,C
0015901,B
0015910,E
0015912,C
0015920,B
0015990,C
0015992,C
0016260,A
0016261,D
0016470,D
0016471,E
0016472,D
0016550,B
0016552,A
0016670,C
0016671,B
0016672,D
0016680,B
0016681,E
0016682,A
0016750,D
0016751,D
0016752,C
0016821,D
0017390,E
0017392,E
0017571,D
0017611,C
0017791,D
0017792,E
0017991,B
0018030,B
0018032,D
0018400,D
0018401,E
0018402,D
0018410,E
0018412,A
0018520,D
0018521,B
0018522,A
0018562,C
0018690,B
0018692,C
0019030,D
0019031,A
0019032,B
0019480,E
0019481,E
0019482,B
0019550,D
0019551,C
0019552,B
0019600,D
0019602,D
0019871,A
0019872,A
0019931,B
0020060,E
0020061,C
0020062,D
0020141,D
0020142,C
0020610,C
0020611,E
0020612,A
0021240,E
0021241,B
0021242,A
0021390,D
0021391,E
0021422,A
0021490,C
0021491,A
0021492,E
0021531,D
0021532,D
0021540,C
0021541,D
0021570,A
0021571,D
0021572,C
0021640,D
0021641,D
0021642,C
0021710,D
0021711,D
0021790,C
0021910,B
0021911,E
0021912,A
0022120,E
0022121,C
0022122,A
0022250,C
0022351,E
0022352,C
0022390,B
0022391,E
0022400,E
0022401,A
0022550,C
0022551,E
0022552,D
0022611,A
0022902,A
0022950,E
0022951,A
0022990,D
0022992,A
0023021,C
0023022,C
0023150,D
0023151,E
0023152,C
0023881,C
0023882,C
0024312,E
0024340,A
0024531,A
0024731,D
0024732,A
0024770,B
0024771,A
0024950,D
0025210,A
0025211,A
0025212,E
0025250,D
0025251,C
0025252,C
0025290,A
0025291,C
0025292,E
0025321,C
0025621,D
0025622,A
0025870,B
0025871,D
0025921,E
0026130,E
0026131,C
0026210,A
0026211,E
0026212,D
0026400,A
0026401,C
0026841,A
0026842,C
0026851,C
0026852,E
0026901,C
0026902,E
0027530,B
0027531,C
0027532,D
0027591,C
0027592,E
0028222,D
0028390,D
0028671,D
0028811,E
0028901,A
0028942,A
0029230,B
0029231,C
0029720,A
0029721,C
0029850,A
0029851,E
0029852,E
0029880,E
0029881,B
0030010,A
0030011,A
0030012,D
0030140,D
0030141,C
0030142,E
0030352,B
0030670,A
0030671,B
0030672,D
0030840,B
0030842,B
0030910,E
0030912,C
0030930,B
0030931,A
0031030,D
0031031,D
0031032,D
0031090,E
0031091,C
0031092,C
0031250,B
0031252,D
0031342,D
0031450,A
0031490,D
0031492,A
0031560,D
0031561,C
0031562,A
0031921,C
0032091,B
0032170,D
0032440,A
0032441,D
0032550,E
0032551,B
0032552,A
0033101,B
0033102,B
0033261,D
0033262,A
0033351,A
0033370,D
0033371,D
0033372,C
0033420,B
0033421,B
0033422,C
0033781,D
0033821,A
0034250,D
0034252,A
0034662,D
0034800,D
0034880,A
0034881,D
0034882,A
0035010,E
0035011,A
0035530,B
0035531,D
0035800,E
0035801,E
0035900,E
0035951,B
0036611,A
0036900,C
0036901,E
0036902,E
0036930,D
0036931,E
0036940,D
0037030,A
0037031,C
0037111,E
0037161,D
0037420,D
0037421,E
0037610,C
0037612,A
0037710,D
0037790,D
0037791,A
0037861,B
0037930,C
0037940,C
0037990,C
0037991,C
0038170,E
0038172,D
0038370,D
0038371,E
0038452,D
0038490,C
0038670,E
0038671,C
0038672,E
0039261,E
0039262,E
0039320,E
0039321,B
0039322,B
0039340,B
0039341,A
0039342,E
0039380,E
0039381,C
0039390,A
0039391,B
0039470,E
0039471,E
0039640,A
0039641,C
0039642,E
0039830,E
0039831,D
0040110,A
0040112,C
0040210,D
0040211,D
0040212,D
0040661,D
0040690,C
0040790,B
0040791,D
0040792,A
0040920,C
0040921,C
0040922,E
0040930,D
0040931,A
0040932,A
0041080,D
0041081,E
0041082,E
0041250,D
0041251,C
0041340,D
0041342,A
0041570,A
0041571,E
0041572,B
0041751,D
0041870,D
0041871,E
0042112,A
0042120,E
0042121,C
0042270,C
0042271,A
0042272,A
0042290,E
0042291,A
0042292,D
0042431,C
0042461,A
0042560,A
0042561,D
0042650,D
0042652,A
0042661,D
0042662,B
0042750,A
0042751,E
0042752,A
0042830,A
0042831,D
0042832,A
0042860,E
0042961,B
0042962,B
0043120,A
0043122,B
0043380,A
0043381,A
0043550,E
0043551,C
0043552,A
0043592,C
0043860,A
0043861,D
0043862,C
0043920,D
0043921,A
0043922,E
0043951,C
0043961,A
0044950,D
0044951,A
0044952,A
0044971,E
0044981,C
0045090,E
0045091,B
0045092,C
0045510,B
0045511,A
0045540,A
0045541,E
0045761,E
0045762,E
0045921,D
0046200,A
0046201,B
0046202,C
0046651,E
0046780,B
0046880,E
0046881,A
0046882,A
0047000,E
0047001,A
0047002,E
0047312,D
0047360,D
0047361,D
0047421,B
0047490,A
0047491,E
0047540,C
0047541,A
0047601,C
0047602,E
0047642,D
0047650,B
0047651,E
0047652,C
0047720,A
0047721,B
0047950,C
0047951,C
0048400,A
0048401,E
0048402,E
0049161,C
0049360,D
0049361,C
0049362,D
0049720,D
0049721,E
0049750,E
0049751,C
0049752,C
0049800,D
0049801,E
0049880,C
0050010,D
0050011,E
0050012,A
0050320,B
0050321,A
0050330,D
0050371,D
0050372,A
0050601,B
0050602,A
0050640,B
0050641,A
0050762,A
0051050,E
0051051,C
0051052,A
0051071,C
0051072,A
0051230,E
0051231,A
0051241,B
0051460,B
0051461,C
0051540,C
0051541,A
0051542,D
0051780,B
0051781,A
0051782,D
0051840,B
0051841,C
0051842,C
0051930,C
0051931,D
0052050,C
0052051,D
0052131,D
0052250,C
0052251,B
0052450,C
0052451,E
0052452,A
0052470,C
0052471,A
0052781,A
0052782,A
0052820,A
0052821,D
0052822,A
0053140,E
0053141,C
0053142,E
0053251,C
0053252,C
0053281,B
0053521,C
0053522,E
0053560,A
0053561,E
0053851,A
0053880,E
0053882,B
0054120,A
0054121,C
0054122,B
0054181,D
0054182,E
0054370,A
0054371,A
0054760,C
0054761,A
0054762,E
0054770,E
0054771,D
0054772,D
0054860,C
0054862,D
0055020,C
0055130,B
0055290,C
